feature_group,n_features,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp,auc
hierarchy_basic,12,0.9866666666666667,0.9428571428571428,1.0,0.9705882352941176,0.9829059829059829,115,2,0,33,0.9976689976689976
hierarchy_derivatives,14,0.9733333333333334,0.967741935483871,0.9090909090909091,0.9375,0.9914529914529915,116,1,3,30,0.9976689976689976
energy,9,0.9666666666666667,0.9375,0.9090909090909091,0.9230769230769231,0.9829059829059829,115,2,3,30,0.9932659932659932
seam,6,0.98,1.0,0.9090909090909091,0.9523809523809523,1.0,117,0,3,30,0.9987049987049986
signal,7,0.88,0.7777777777777778,0.6363636363636364,0.7,0.9487179487179487,111,6,12,21,0.9624449624449625
full,48,0.9733333333333334,0.967741935483871,0.9090909090909091,0.9375,0.9914529914529915,116,1,3,30,0.998963998963999
hierarchy_basic_plus_derivatives,26,0.98,0.96875,0.9393939393939394,0.9538461538461539,0.9914529914529915,116,1,2,31,0.998963998963999
hierarchy_plus_signal,33,0.98,0.96875,0.9393939393939394,0.9538461538461539,0.9914529914529915,116,1,2,31,0.9992229992229992
energy_plus_seam,15,0.98,0.96875,0.9393939393939394,0.9538461538461539,0.9914529914529915,116,1,2,31,0.9981869981869982
all_except_energy,39,0.9866666666666667,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9914529914529915,116,1,1,32,0.9992229992229992
all_except_hierarchy,22,0.9733333333333334,1.0,0.8787878787878788,0.9354838709677419,1.0,117,0,4,29,0.9968919968919969
