split_seed,threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
1000,2.725,0.8733333333333333,0.6842105263157895,0.7878787878787878,0.7323943661971831,0.8974358974358975,105,12,7,26
1001,2.725,0.88,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.905982905982906,106,11,7,26
1002,2.575,0.86,0.7307692307692307,0.5757575757575758,0.6440677966101694,0.9401709401709402,110,7,14,19
1003,2.675,0.8066666666666666,0.5666666666666667,0.5151515151515151,0.5396825396825397,0.8888888888888888,104,13,16,17
1004,2.725,0.8533333333333334,0.6571428571428571,0.696969696969697,0.6764705882352942,0.8974358974358975,105,12,10,23
1005,2.575,0.8466666666666667,0.6785714285714286,0.5757575757575758,0.6229508196721312,0.9230769230769231,108,9,14,19
1006,2.575,0.8733333333333333,0.6944444444444444,0.7575757575757576,0.7246376811594203,0.905982905982906,106,11,8,25
1007,2.725,0.8266666666666667,0.5945945945945946,0.6666666666666666,0.6285714285714286,0.8717948717948718,102,15,11,22
1008,2.575,0.8466666666666667,0.6470588235294118,0.6666666666666666,0.6567164179104478,0.8974358974358975,105,12,11,22
1009,2.725,0.84,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.8717948717948718,102,15,9,24
