accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp,auc,split_seed
0.96,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.9658119658119658,113,4,2,31,0.9937839937839938,1000
0.9733333333333334,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9829059829059829,115,2,2,31,0.9981869981869982,1001
0.9666666666666667,0.9375,0.9090909090909091,0.9230769230769231,0.9829059829059829,115,2,3,30,0.9961149961149961,1002
0.96,1.0,0.8181818181818182,0.9,1.0,117,0,6,27,0.9961149961149961,1003
0.98,0.9166666666666666,1.0,0.9565217391304348,0.9743589743589743,114,3,0,33,0.9994819994819996,1004
0.9533333333333334,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9658119658119658,113,4,3,30,0.9950789950789951,1005
0.9733333333333334,0.8918918918918919,1.0,0.9428571428571428,0.9658119658119658,113,4,0,33,0.9950789950789951,1006
0.9466666666666667,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9658119658119658,113,4,4,29,0.9888629888629888,1007
0.96,0.8461538461538461,1.0,0.9166666666666666,0.9487179487179487,111,6,0,33,0.9971509971509972,1008
0.94,0.8,0.9696969696969697,0.8767123287671232,0.9316239316239316,109,8,1,32,0.9901579901579902,1009
